Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
21957941,"Generation ""П""",Victor Pelevin,"Pelevin, Victor",Виктор Пелевин,"=""5699330380""","=""9785699330386""",2,3.87,Эксмо,Hardcover,320,2011,1999,2025/08/17,2025/08/17,,,read,,,,1,0
10614,Misery,Stephen  King+,"King+, Stephen",,"=""0450417395""","=""9780450417399""",5,4.23,New English Library,Paperback,370,1992,1987,2025/08/09,2025/07/06,,,read,,,,1,0
834638,Empire V (Ампир В),Victor Pelevin,"Pelevin, Victor",Виктор Пелевин,"=""5699190856""","=""9785699190850""",4,3.89,Эксмо,Hardcover,416,2006,2006,2025/07/28,2025/02/11,,,read,,,,1,0
54493401,Project Hail Mary,Andy Weir,"Weir, Andy",,"=""0593135202""","=""9780593135204""",5,4.51,Ballantine Books,Hardcover,476,2021,2021,2025/07/06,2025/06/01,,,read,,,,1,0
17803,After Dark,Haruki Murakami,"Murakami, Haruki",Jay Rubin,"=""0307265838""","=""9780307265838""",4,3.74,Knopf,Hardcover,191,2007,2004,2025/06/01,2025/05/27,,,read,,,,1,0
5129,Brave New World,Aldous Huxley,"Huxley, Aldous",,"=""0060929871""","=""9780060929879""",4,3.98,HarperPerennial / Perennial Classics,Paperback,288,1998,1932,2025/05/22,2025/04/29,,,read,,,,1,0
23692271,Sapiens: A Brief History of Humankind,Yuval Noah Harari,"Harari, Yuval Noah",,"=""""","=""""",5,4.33,Vintage,Paperback,512,2015,2011,2025/05/01,2024/12/25,,,read,,,,1,0
48855,The Diary of a Young Girl,Anne Frank,"Frank, Anne","Otto H. Frank, Mirjam Pressler, Eleanor Roosevelt, Susan Massotty, Γιάννης Θωμόπουλος, Barbara Mooyaart-Doubleday","=""""","=""""",4,4.20,Bantam,Mass Market Paperback,283,1993,1947,2025/03/09,2025/02/23,,,read,,,,1,0
39999,The Boy in the Striped Pajamas,John Boyne,"Boyne, John",,"=""0385751079""","=""9780385751070""",0,4.16,David Fickling Books,Hardcover,224,2006,2006,,2025/02/23,to-read,to-read (#11),to-read,,,,0,0
3836,Don Quixote,Miguel de Cervantes Saavedra,"Saavedra, Miguel de Cervantes","Roberto González Echevarría, John Rutherford","=""""","=""""",0,3.91,Penguin Books,Paperback,1023,2003,1615,,2025/02/23,to-read,to-read (#10),to-read,,,,0,0
485894,The Metamorphosis,Franz Kafka,"Kafka, Franz",Stanley Corngold,"=""0553213695""","=""9780553213690""",0,3.91,Bantam Classics,Mass Market Paperback,201,1972,1915,,2025/02/23,to-read,to-read (#9),to-read,,,,0,0
52892857,The Color Purple,Alice Walker,"Walker, Alice",,"=""0143135694""","=""9780143135692""",0,4.28,Penguin Books,Paperback,287,2019,1982,,2025/02/23,to-read,to-read (#8),to-read,,,,0,0
320,One Hundred Years of Solitude,Gabriel García Márquez,"Márquez, Gabriel García",Gregory Rabassa,"=""""","=""""",0,4.12,Harper,Mass Market Paperback,417,2003,1967,,2025/02/23,to-read,to-read (#7),to-read,,,,0,0
13079982,Fahrenheit 451,Ray Bradbury,"Bradbury, Ray",,"=""""","=""""",0,3.97,Simon & Schuster,Mass Market Paperback,249,2011,1953,,2025/02/23,to-read,to-read (#6),to-read,,,,0,0
5107,The Catcher in the Rye,J.D. Salinger,"Salinger, J.D.",,"=""0316769177""","=""9780316769174""",0,3.80,Back Bay Books,Paperback,277,2001,1951,,2025/02/23,,,read,,,,1,0
